global_step,epoch,loss_total,loss_student_ce,loss_teacher_ce,loss_align
0,0,4.986911296844482,2.478869915008545,2.4328296184539795,0.07521183788776398
1,0.0002623983206507478,6.1369123458862305,3.0345678329467773,2.9886398315429688,0.11370474845170975
2,0.0005247966413014956,5.441474914550781,2.5937230587005615,2.7337820529937744,0.11396990716457367
3,0.0007871949619522435,5.540790557861328,2.722738265991211,2.712249517440796,0.10580254346132278
4,0.0010495932826029913,4.2794108390808105,2.1200790405273438,2.116302728652954,0.04302907735109329
5,0.0013119916032537393,5.510923862457275,2.8007664680480957,2.6337599754333496,0.07639726251363754
6,0.001574389923904487,3.065261125564575,1.5382572412490845,1.4848806858062744,0.04212304577231407
7,0.0018367882445552348,5.96353816986084,2.994262456893921,2.511796474456787,0.4574795365333557
8,0.0020991865652059826,3.570610523223877,1.8262673616409302,1.6749671697616577,0.06937600672245026
9,0.0023615848858567303,4.77273416519165,2.4403390884399414,2.274179458618164,0.058215633034706116
10,0.0026239832065074785,4.474716663360596,2.323499917984009,1.9922457933425903,0.15897071361541748
11,0.0028863815271582263,5.119024753570557,2.618126153945923,2.473475694656372,0.02742273174226284
12,0.003148779847808974,5.813544273376465,3.2837185859680176,2.1452701091766357,0.38455602526664734
13,0.003411178168459722,5.477602481842041,2.7636497020721436,2.6770853996276855,0.03686751052737236
14,0.0036735764891104696,5.139164924621582,2.6630992889404297,2.1518490314483643,0.32421696186065674
15,0.003935974809761217,5.827649116516113,2.925473928451538,2.885143280029297,0.017031433060765266
16,0.004198373130411965,3.624840021133423,1.8287328481674194,1.7551902532577515,0.040916912257671356
17,0.004460771451062713,4.440726280212402,2.2284531593322754,2.142376661300659,0.06989660114049911
18,0.004723169771713461,3.67832088470459,1.8308693170547485,1.7778918743133545,0.06955966353416443
19,0.004985568092364209,3.280339241027832,1.6434369087219238,1.5882726907730103,0.04862964525818825
20,0.005247966413014957,4.004176616668701,2.0045723915100098,1.9769926071166992,0.022611752152442932
